rank,name,speed,spin,control,tackiness,weight,hardness,gears,throw_angle,consistency,durable,overall,ratings,price
98,Xiom Sigma II Pro,9.4,9.3,8.7,2.5,6.4,7.2,8.8,5.5,9.5,8.3,9.3,28,42.0
99,Adidas TenZone Ultra SF,9.0,9.2,9.3,2.4,4.2,4.1,7.9,4.8,9.2,8.2,9.3,14,40.0
100,Andro Rasant Powersponge,8.7,9.3,9.4,2.3,3.9,3.0,8.5,4.3,9.3,8.4,9.3,48,53.0
101,Yasaka Mark V GPS Soft,8.2,8.5,8.6,5.0,4.6,3.5,8.7,4.2,8.1,8.1,9.3,11,35.0
102,TSP Agrit Speed,9.0,9.0,9.0,3.1,5.3,6.6,7.8,6.8,8.3,7.9,9.3,11,60.0
103,Butterfly Dignics 64,9.4,9.2,8.9,1.7,4.6,6.2,8.9,4.0,9.5,8.1,9.3,17,75.0
104,Butterfly Dignics 09C,8.7,9.5,9.1,5.6,6.8,8.3,9.0,8.4,9.7,8.0,9.3,77,80.0
105,Stiga Boost TX,9.3,9.0,8.5,2.0,3.2,5.2,8.3,3.8,8.5,7.8,9.3,46,55.0
106,Donic Bluefire JP 03,8.6,9.1,9.4,2.0,5.1,3.4,7.5,5.4,9.3,6.7,9.3,51,54.0
107,Tibhar Genius,8.9,9.3,8.9,2.8,5.3,5.6,7.9,5.9,9.4,8.3,9.3,55,50.0
108,Gewo Proton Neo 475,9.4,9.4,9.3,0.2,5.8,7.0,7.3,3.3,9.4,8.8,9.3,11,43.0
109,Nittaku Flyatt Spin,8.9,9.2,9.3,2.1,3.8,4.2,8.8,4.4,10.0,9.1,9.3,10,25.0
110,Tibhar Aurus Prime,9.4,9.3,8.9,2.3,5.2,6.9,8.6,6.6,8.8,7.7,9.3,36,44.0
111,Nittaku Fastarc P-1,9.3,9.3,9.0,2.9,5.5,5.6,9.3,6.0,9.2,9.1,9.3,32,55.0
112,Donic Baracuda,8.7,9.5,8.6,2.3,5.5,4.9,7.8,7.3,8.8,7.7,9.3,220,60.0
113,Gewo Neoflexx EFT 40,6.9,8.5,9.1,1.7,2.2,2.8,4.3,6.2,8.6,7.6,9.3,14,36.0
114,Nittaku Narucross EX Hard,9.2,8.9,8.5,3.3,4.3,6.8,9.1,4.8,10.0,8.2,9.3,11,50.0
115,Tibhar Hybrid K3,8.7,9.2,9.0,4.7,5.9,8.1,8.8,6.2,9.5,5.4,9.3,33,65.0
116,Killerspin Fortissimo,9.5,8.9,8.9,2.6,4.0,4.4,8.4,3.7,9.6,8.7,9.3,30,52.0
117,Butterfly Tenergy 05,9.3,9.4,8.3,2.3,6.4,6.1,8.7,7.6,9.3,7.7,9.3,374,60.0
118,Xiom Omega 3 Asian,9.5,8.9,8.8,0.7,4.0,7.7,7.0,3.0,9.0,6.3,9.3,11,50.0
119,TSP Ventus Speed,9.3,9.2,9.2,1.3,4.6,6.1,7.5,4.3,9.3,7.9,9.3,28,42.0
120,Victas V > 15 Limber,8.8,9.4,9.4,1.8,4.3,4.3,8.2,4.7,9.6,7.8,9.3,30,36.0
121,Xiom Omega V Tour,9.2,9.4,9.3,1.8,5.9,6.7,9.1,5.2,9.4,7.9,9.3,56,40.0
122,Donic Coppa X1 Turbo Platin,9.5,9.2,8.4,2.0,4.1,6.1,7.9,4.1,8.8,7.7,9.3,53,49.0
123,Andro Hexer Powergrip SFX,8.6,9.0,9.1,1.6,3.8,3.9,8.6,5.4,9.6,8.2,9.3,31,41.0
124,Donic Acuda S1 Turbo,9.4,9.1,8.3,3.2,6.1,6.9,8.3,6.1,8.5,7.0,9.3,50,52.0
125,Nittaku Fastarc S-1,9.1,8.9,9.0,1.9,3.3,4.4,8.5,5.3,9.4,7.9,9.3,67,42.0
126,Donic Traction MS Pro,9.3,9.3,8.7,2.4,5.8,6.8,7.0,5.3,7.2,6.9,9.3,10,60.0
127,Victas V > 01 Stiff,9.2,9.3,9.3,1.5,4.4,4.8,8.3,5.6,9.4,8.6,9.3,34,36.0
128,Butterfly Tenergy 05 FX,9.1,9.2,8.9,3.0,5.4,4.1,8.5,6.0,9.3,7.7,9.3,160,62.0
129,Gewo Nexxus XT Pro 48,9.4,9.4,9.3,1.5,6.1,7.2,7.7,4.5,8.5,8.2,9.3,18,55.0
130,DHS NEO Hurricane 3 Provincial (Orange Sponge),8.6,9.4,9.0,7.8,6.5,7.3,8.9,5.6,7.9,7.9,9.3,50,65.0
131,Xiom Omega V Euro,9.1,9.3,9.1,2.1,5.4,5.6,8.5,6.0,9.6,8.1,9.3,44,49.0
132,Butterfly Spin Art,8.6,9.3,8.9,6.0,7.7,9.1,9.2,5.9,9.4,8.4,9.3,50,55.0
133,Gewo Flexxon FX,9.0,9.2,9.1,1.3,3.5,4.2,7.5,6.3,8.6,8.1,9.3,15,58.0
134,Yinhe Apollo 5,9.0,9.4,9.2,5.3,6.1,7.6,8.6,5.3,9.0,8.2,9.3,26,20.0
135,Globe 999 National,7.8,9.2,9.0,6.2,6.3,6.4,8.3,5.3,9.3,8.3,9.3,34,15.0
136,Nittaku Galze,8.8,9.1,9.0,1.5,4.2,5.7,9.1,4.4,10.0,8.6,9.3,11,55.0
137,Nittaku Hammond Pro Beta,8.9,8.7,9.1,1.9,2.2,3.3,8.3,2.5,9.9,8.9,9.3,45,49.0
138,Donic Bluestorm Z1,9.3,9.4,8.8,2.1,5.6,6.5,9.1,5.6,8.7,6.4,9.3,27,60.0
139,Tibhar Grip-S Europe Soft,8.4,9.3,8.9,5.1,4.1,4.6,8.8,7.0,10.0,8.8,9.3,17,45.0
140,Gewo Flexxon Soft,8.7,9.4,9.4,1.7,2.8,1.2,7.6,6.6,8.5,8.7,9.3,12,58.0
141,Donic Bluefire M1,9.3,9.2,8.4,2.7,5.9,7.1,8.1,6.3,9.2,7.3,9.2,88,55.0
142,Andro Hexer HD,9.3,9.2,8.6,2.8,5.6,6.7,8.1,5.1,9.0,7.7,9.2,39,55.99
143,Friendship/729 Battle 3,8.9,9.4,9.3,8.4,6.0,8.2,9.2,4.9,9.3,7.6,9.2,21,30.0
144,Yinhe 9000 3 Star,9.2,9.2,9.1,6.8,4.3,5.3,6.3,5.5,8.6,6.8,9.2,19,10.0
145,Tibhar 5Q VIP,8.6,9.3,9.0,1.8,4.2,5.2,9.0,6.0,10.0,8.8,9.2,13,42.0
146,Stiga Calibra LT,9.3,9.1,8.9,4.5,5.8,7.3,8.5,6.5,8.8,7.4,9.2,76,53.0
147,Yasaka Anti Power (Anti-spin),4.4,2.5,8.8,1.2,4.1,1.9,3.6,2.3,8.3,9.3,9.2,22,32.95
148,Butterfly Dignics 05,9.1,9.4,8.8,1.8,5.0,7.0,8.3,6.3,8.6,8.4,9.2,74,80.0
149,Andro Rasant Beat,8.8,9.1,9.3,1.7,2.9,1.6,8.8,4.4,9.7,8.5,9.2,22,56.0
150,Xiom Omega V Pro,9.0,9.1,9.1,2.7,5.5,6.3,8.8,5.4,9.6,8.0,9.2,32,42.0
151,DHS Hurricane 8 Hard,8.7,9.3,9.0,7.6,7.8,9.2,8.4,4.0,8.6,7.1,9.2,27,32.0
152,Gewo Nexxus EL Pro 38,8.5,9.2,9.1,1.1,3.5,2.8,7.8,7.1,8.8,7.7,9.2,17,53.0
153,Xiom Omega VII Tour,9.3,9.3,8.2,2.0,7.4,8.8,9.1,6.2,9.5,8.3,9.2,20,59.0
154,Xiom Vega Pro,9.1,9.2,8.7,2.1,5.5,7.0,8.0,5.9,9.3,7.5,9.2,167,36.0
155,Nittaku Alhelg SR,9.1,9.4,9.0,4.3,6.0,7.2,8.8,4.8,8.8,8.5,9.2,16,60.0
156,Andro Rasanter R42,9.0,9.2,9.2,2.1,3.6,4.1,8.0,6.1,9.0,7.7,9.2,66,45.0
157,Nittaku Fastarc C-1,9.0,9.1,9.2,2.0,4.5,5.1,7.8,5.5,9.5,8.5,9.2,52,45.0
158,Gewo Proton Neo 375,8.6,9.1,9.4,0.5,2.5,2.8,7.3,6.2,9.5,8.4,9.2,12,42.0
159,Stiga Calibra LT Spin,9.1,9.1,8.9,2.4,3.5,3.6,8.4,4.7,8.8,6.1,9.2,44,40.0
160,Victas V > 11 Extra,8.8,8.8,9.2,1.8,2.6,5.9,7.4,5.6,9.3,5.8,9.2,21,50.0
161,Yinhe Venus 2,8.4,8.8,8.5,7.4,6.0,6.9,7.4,3.9,7.5,8.1,9.2,22,15.0
162,Yasaka Rakza X,9.0,9.0,9.0,2.3,4.9,6.6,8.5,4.7,9.6,8.0,9.2,62,43.0
163,Donic Bluefire JP 01 Turbo,9.3,9.4,8.4,3.8,5.3,6.5,8.6,6.0,9.4,8.0,9.2,25,54.0
164,Victas VS > 401,7.8,9.3,9.3,1.9,8.4,8.0,8.2,4.5,8.9,8.4,9.2,32,41.0
165,Xiom Vega X,8.9,9.1,8.9,1.8,5.9,6.6,6.9,5.8,9.0,7.5,9.2,27,47.0
166,Tibhar Evolution FX-S,8.7,9.2,9.2,1.3,5.4,3.2,7.4,5.3,10.0,7.5,9.2,23,40.0
167,Tibhar Aurus,8.9,9.0,8.8,2.2,4.7,6.1,8.1,5.8,9.2,7.3,9.2,50,40.0
168,Andro Plasma Women,8.6,8.7,8.9,1.2,1.1,0.4,8.5,6.9,9.6,8.6,9.2,20,37.0
169,Stiga Calibra LT Plus,9.4,9.1,8.6,3.3,6.1,8.2,8.5,6.0,8.4,7.3,9.2,34,28.0
170,Gewo Hype EL Pro 40.0,8.6,9.4,9.5,0.9,2.7,2.3,8.1,7.3,8.1,7.2,9.2,20,52.0
171,Donic Quattro A'Conda Soft,6.7,8.7,9.1,2.4,4.9,2.4,7.6,6.0,8.1,5.6,9.2,14,31.0
172,Palio Macro Era,9.3,8.6,8.5,1.7,3.9,4.3,8.4,4.3,9.3,5.6,9.2,36,25.0
